type,sample,phase,total,avg
None,Sample 1,Color,14335849,13273
None,Sample 1,Huffman,7366321,902
None,Sample 1,Compress,92382834,1358571
prefetch 1,Sample 1,Color,17254149,15976
prefetch 1,Sample 1,Huffman,9767672,1197
prefetch 1,Sample 1,Compress,94229871,1385733
prefetch 2,Sample 1,Color,16717893,15479
prefetch 2,Sample 1,Huffman,9771061,1197
prefetch 2,Sample 1,Compress,92612057,1361942
None,Sample 2,Color,13963353,12929
None,Sample 2,Huffman,14420963,1767
None,Sample 2,Compress,110034706,1618157
prefetch 1,Sample 2,Color,16831649,15584
prefetch 1,Sample 2,Huffman,16232069,1989
prefetch 1,Sample 2,Compress,111232566,1635773
prefetch 2,Sample 2,Color,16497636,15275
prefetch 2,Sample 2,Huffman,16376611,2006
prefetch 2,Sample 2,Compress,112663926,1656822
None,Sample 3,Color,13812820,12789
None,Sample 3,Huffman,22108875,2709
None,Sample 3,Compress,117355726,1725819
prefetch 1,Sample 3,Color,16686239,15450
prefetch 1,Sample 3,Huffman,23654042,2898
prefetch 1,Sample 3,Compress,119349450,1755138
prefetch 2,Sample 3,Color,16758528,15517
prefetch 2,Sample 3,Huffman,23843016,2921
prefetch 2,Sample 3,Compress,119303265,1754459
